measure;BNC ANOVA p-value;COCA ANOVA p-value
H_1;1.758365670236879e-205;8.987422794587321e-22
ttr;3.628290094658641e-143;5.2126421493644594e-12
zipf_clauset;2.674423205237422e-210;3.5436909509634844e-24
