BNC;CDB;FICTION;1987;;A fatal inversion. Sample containing about 37148 words from a book (domain: imaginative);word_measures;1000;1000;4.302;0.429;1.8132823415956296;1.240080312266946;9.965784284662087;7.762769474584945;9.718792757055672
BNC;CDB;FICTION;1987;;A fatal inversion. Sample containing about 37148 words from a book (domain: imaginative);word_measures;2000;2000;4.376;0.3745;1.8126968883375376;1.2287127464264629;10.965784284662087;8.214461865536236;10.630581444608977
BNC;CDB;FICTION;1987;;A fatal inversion. Sample containing about 37148 words from a book (domain: imaginative);word_measures;5000;5000;4.3558;0.2896;1.8413415766586136;1.2196582927554844;12.287712379549449;8.657666042597635;11.750688703593765
BNC;CDB;FICTION;1987;;A fatal inversion. Sample containing about 37148 words from a book (domain: imaginative);word_measures;10000;10000;4.2921;0.2302;1.8710929354251307;1.2160284736007454;13.287712379549449;8.876482091569384;12.494234080273568
BNC;CDX;NONAC;1991;;Mother without a mask. Sample containing about 39586 words from a book (domain: belief and thought);word_measures;1000;1000;4.209;0.453;1.7976967478832269;1.237121371999383;9.965784284662087;7.86209636383153;9.759210975329772
BNC;CDX;NONAC;1991;;Mother without a mask. Sample containing about 39586 words from a book (domain: belief and thought);word_measures;2000;2000;4.2425;0.3915;1.8064504428032957;1.2268431805819273;10.965784284662087;8.303895055748555;10.652767899742821
BNC;CDX;NONAC;1991;;Mother without a mask. Sample containing about 39586 words from a book (domain: belief and thought);word_measures;5000;5000;4.2854;0.3002;1.8496120327392427;1.2160717431455852;12.287712379549449;8.792733624594542;11.790001722312315
BNC;CDX;NONAC;1991;;Mother without a mask. Sample containing about 39586 words from a book (domain: belief and thought);word_measures;10000;10000;4.2587;0.2323;1.8900079481863883;1.2124937670677902;13.287712379549449;9.00927688429055;12.569270873847586
BNC;CDG;NONAC;1991;;Hollywood rogues. Sample containing about 36363 words from a book (domain: leisure);word_measures;1000;1000;4.469;0.443;1.797572265598974;1.2402856751531361;9.965784284662087;7.766630268127759;9.694211768944768
BNC;CDG;NONAC;1991;;Hollywood rogues. Sample containing about 36363 words from a book (domain: leisure);word_measures;2000;2000;4.5;0.3935;1.7935193323930854;1.2280961219221354;10.965784284662087;8.24363343527551;10.621031197606014
BNC;CDG;NONAC;1991;;Hollywood rogues. Sample containing about 36363 words from a book (domain: leisure);word_measures;5000;5000;4.3468;0.2864;1.8470568761217847;1.2201126899570225;12.287712379549449;8.6368593823213;11.713939921973646
BNC;CDG;NONAC;1991;;Hollywood rogues. Sample containing about 36363 words from a book (domain: leisure);word_measures;10000;10000;4.3022;0.2244;1.8926846885805786;1.213979935273528;13.287712379549449;8.931097201887727;12.505786476438882
BNC;CDS;NONAC;1989;;On my way to the club. Sample containing about 35342 words from a book (domain: world affairs);word_measures;1000;1000;4.417;0.49;1.769076234035013;1.23415318839252;9.965784284662087;7.9429966163377435;9.732521019393882
BNC;CDS;NONAC;1989;;On my way to the club. Sample containing about 35342 words from a book (domain: world affairs);word_measures;2000;2000;4.4625;0.417;1.7849098948802373;1.2233187890797852;10.965784284662087;8.393160288836494;10.660258124738494
BNC;CDS;NONAC;1989;;On my way to the club. Sample containing about 35342 words from a book (domain: world affairs);word_measures;5000;5000;4.4472;0.3182;1.819454472473864;1.2162095894664529;12.287712379549449;8.79328441093362;11.79016947781352
BNC;CDS;NONAC;1989;;On my way to the club. Sample containing about 35342 words from a book (domain: world affairs);word_measures;10000;10000;4.4939;0.234;1.8730359819262186;1.2156042177230117;13.287712379549449;8.912051912723548;12.490606449975001
BNC;CD9;NONAC;1988;;The champions of Formula 1 from Fangio to Piquet. Sample containing about 38822 words from a book (domain: leisure);word_measures;1000;1000;4.492;0.451;1.8006525085568814;1.2366625540703535;9.965784284662087;7.87063035345777;9.778169759885623
BNC;CD9;NONAC;1988;;The champions of Formula 1 from Fangio to Piquet. Sample containing about 38822 words from a book (domain: leisure);word_measures;2000;2000;4.4055;0.3705;1.8249453689192172;1.2281014803797008;10.965784284662087;8.24572068840822;10.669204083397478
BNC;CD9;NONAC;1988;;The champions of Formula 1 from Fangio to Piquet. Sample containing about 38822 words from a book (domain: leisure);word_measures;5000;5000;4.3722;0.2702;1.8717719062853548;1.2226160273700952;12.287712379549449;8.568741001149103;11.723629518372142
BNC;CD9;NONAC;1988;;The champions of Formula 1 from Fangio to Piquet. Sample containing about 38822 words from a book (domain: leisure);word_measures;10000;10000;4.427;0.2169;1.8966470821939883;1.218265361711383;13.287712379549449;8.809482021351121;12.470000739439904
BNC;CDR;OTHERPUB;1989;;Total health and fitness. Sample containing about 38360 words from a book (domain: leisure);word_measures;1000;1000;4.49;0.458;1.8003482159938935;1.2349134195595979;9.965784284662087;7.909572898039402;9.798269625355731
BNC;CDR;OTHERPUB;1989;;Total health and fitness. Sample containing about 38360 words from a book (domain: leisure);word_measures;2000;2000;4.6345;0.375;1.8249912166475568;1.2270253681391479;10.965784284662087;8.280374400357168;10.670785395448492
BNC;CDR;OTHERPUB;1989;;Total health and fitness. Sample containing about 38360 words from a book (domain: leisure);word_measures;5000;5000;4.5414;0.273;1.8913510004264231;1.2178503491729498;12.287712379549449;8.71837384699548;11.696862929887907
BNC;CDR;OTHERPUB;1989;;Total health and fitness. Sample containing about 38360 words from a book (domain: leisure);word_measures;10000;10000;4.5574;0.1848;1.9748942204699906;1.2224173625558616;13.287712379549449;8.679468817888697;12.107203675160868
